name,dtype,non_null,missing,missing_share,unique,is_numeric,min,max,mean,std,zeroes_share
customerID,object,7043,0,0.0,7043,False,,,,,
gender,object,7043,0,0.0,2,False,,,,,
SeniorCitizen,int64,7043,0,0.0,2,True,0.0,1.0,0.1621468124378816,0.3686116056100131,0.8378531875621185
Partner,object,7043,0,0.0,2,False,,,,,
Dependents,object,7043,0,0.0,2,False,,,,,
tenure,int64,7043,0,0.0,73,True,0.0,72.0,32.37114865824223,24.55948102309446,0.001561834445548772
PhoneService,object,7043,0,0.0,2,False,,,,,
MultipleLines,object,7043,0,0.0,3,False,,,,,
InternetService,object,7043,0,0.0,3,False,,,,,
OnlineSecurity,object,7043,0,0.0,3,False,,,,,
OnlineBackup,object,7043,0,0.0,3,False,,,,,
DeviceProtection,object,7043,0,0.0,3,False,,,,,
TechSupport,object,7043,0,0.0,3,False,,,,,
StreamingTV,object,7043,0,0.0,3,False,,,,,
StreamingMovies,object,7043,0,0.0,3,False,,,,,
Contract,object,7043,0,0.0,3,False,,,,,
PaperlessBilling,object,7043,0,0.0,2,False,,,,,
PaymentMethod,object,7043,0,0.0,4,False,,,,,
MonthlyCharges,float64,7043,0,0.0,1585,True,18.25,118.75,64.76169246059918,30.090047097678493,0.0
TotalCharges,object,7043,0,0.0,6531,False,,,,,
Churn,object,7043,0,0.0,2,False,,,,,
