epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.134,0.94916,2.6726,1.12984,0.79185,0.38819,0.61947,0.46388,0.67875,3.31577,0.86716,0.0003,0.0003,0.0003
2,313.751,0.7834,1.79391,1.01779,1,0.28295,0.73671,0.54561,0.8961,3.41013,0.92346,0.000607724,0.000607724,0.000607724
3,472.519,0.83827,1.54957,1.02717,0.43031,0.15444,0.18847,0.09144,1.77059,4.68737,1.40715,0.000902776,0.000902776,0.000902776
4,625.355,0.90389,1.41115,1.02714,0.44413,0.22449,0.23542,0.09505,2.00393,3.92605,1.8055,0.00118516,0.00118516,0.00118516
5,784.206,0.70646,1.20373,0.97286,0.28328,0.37918,0.22744,0.12207,1.71102,3.84308,1.39511,0.00145486,0.00145486,0.00145486
6,943.646,0.73401,1.06304,0.96407,0.43478,0.26531,0.31078,0.20007,1.67572,3.34519,1.43026,0.0017119,0.0017119,0.0017119
7,1103.85,0.68986,0.96184,0.9724,0.3353,0.42857,0.30931,0.12263,1.89449,6.37504,1.76901,0.0017624,0.0017624,0.0017624
8,1257.79,0.70363,0.89023,0.97723,0.6791,0.63265,0.6783,0.46274,1.02939,1.87352,1.03538,0.0017228,0.0017228,0.0017228
9,1411.34,0.67404,0.80307,0.95874,0.73189,0.42857,0.44314,0.21509,1.37193,2.42237,1.25587,0.0016832,0.0016832,0.0016832
10,1564.17,0.6984,0.74866,0.95873,0.67967,0.40816,0.45915,0.19486,1.60634,2.6044,1.38509,0.0016436,0.0016436,0.0016436
11,1716.55,0.66354,0.64699,0.96254,0.8595,0.71429,0.74152,0.33138,1.49158,2.37547,1.32146,0.001604,0.001604,0.001604
12,1869.59,0.62345,0.59962,0.94608,0.84498,0.44898,0.61864,0.44899,1.14921,1.95197,1.11905,0.0015644,0.0015644,0.0015644
13,2022.82,0.65222,0.59909,0.97917,0.76797,0.73469,0.8343,0.53846,1.29639,1.19936,1.23465,0.0015248,0.0015248,0.0015248
14,2176.32,0.64055,0.58593,0.93685,0.93607,0.69388,0.84394,0.40314,1.57834,1.29732,1.3886,0.0014852,0.0014852,0.0014852
15,2329.26,0.61379,0.56016,0.92661,0.65159,0.67347,0.68683,0.39353,1.47351,1.49593,1.29684,0.0014456,0.0014456,0.0014456
16,2481.46,0.59444,0.54199,0.92963,0.73672,0.83673,0.86031,0.60995,1.02441,1.00579,1.03029,0.001406,0.001406,0.001406
17,2635.29,0.58659,0.49742,0.90687,0.77171,0.82796,0.87207,0.65483,0.95166,0.92987,0.98787,0.0013664,0.0013664,0.0013664
18,2788.04,0.57479,0.47958,0.90389,0.72525,0.81633,0.87872,0.64578,1.0383,0.88321,1.02592,0.0013268,0.0013268,0.0013268
19,2941.47,0.55129,0.45802,0.90916,0.91855,0.73469,0.83626,0.53964,1.37186,1.09871,1.15921,0.0012872,0.0012872,0.0012872
20,3094.11,0.57316,0.42861,0.90678,0.86575,0.81633,0.85417,0.6934,0.79699,0.89036,0.87475,0.0012476,0.0012476,0.0012476
21,3247.52,0.49919,0.42564,0.89064,0.83464,0.77551,0.82441,0.5812,1.08807,1.02954,0.97634,0.001208,0.001208,0.001208
22,3400.56,0.47731,0.40672,0.88509,0.87417,0.85714,0.8891,0.66274,0.9943,0.87154,0.94897,0.0011684,0.0011684,0.0011684
23,3553.4,0.46468,0.38951,0.87427,0.89885,0.61224,0.69471,0.50022,1.19262,1.39504,1.11372,0.0011288,0.0011288,0.0011288
24,3707.1,0.45414,0.38421,0.87656,0.93695,0.69388,0.84824,0.59057,1.13353,1.01724,1.11286,0.0010892,0.0010892,0.0010892
25,3859.67,0.43844,0.361,0.8846,0.87554,0.86148,0.92147,0.65347,1.06962,0.87124,1.01266,0.0010496,0.0010496,0.0010496
26,4012.23,0.4226,0.35563,0.87666,0.8077,0.89796,0.92243,0.68961,1.00179,0.7164,1.017,0.00101,0.00101,0.00101
27,4164.39,0.44956,0.35412,0.88666,0.80528,0.81633,0.91535,0.73903,0.80149,0.67705,0.99238,0.0009704,0.0009704,0.0009704
28,4316.6,0.44803,0.35292,0.88207,0.84726,0.73469,0.88321,0.69174,0.80496,0.85868,0.93185,0.0009308,0.0009308,0.0009308
29,4468.48,0.44159,0.33374,0.8788,0.87715,0.91837,0.94481,0.73391,0.85344,0.68393,0.94278,0.0008912,0.0008912,0.0008912
30,4621.43,0.40771,0.32834,0.87964,0.8164,0.89796,0.95038,0.74555,0.82262,0.59255,0.90276,0.0008516,0.0008516,0.0008516
31,4774.53,0.38478,0.31259,0.87793,0.9044,0.96545,0.97236,0.72682,0.96968,0.63159,1.00576,0.000812,0.000812,0.000812
32,4925.27,0.38204,0.31685,0.87325,0.89971,0.95918,0.96018,0.69681,0.99678,0.68718,0.9987,0.0007724,0.0007724,0.0007724
33,5074.6,0.36726,0.29661,0.86704,0.87996,0.89759,0.94946,0.74042,0.84554,0.70118,0.9751,0.0007328,0.0007328,0.0007328
34,5223.28,0.35696,0.29609,0.8673,0.91307,0.8574,0.95061,0.70124,0.96574,0.73214,1.00383,0.0006932,0.0006932,0.0006932
35,5372.53,0.34887,0.29834,0.86821,0.8924,0.84637,0.92687,0.72042,0.86281,0.76892,0.90927,0.0006536,0.0006536,0.0006536
36,5521.17,0.35004,0.29166,0.86697,0.91255,0.85196,0.90337,0.71395,0.84491,0.8061,0.91911,0.000614,0.000614,0.000614
37,5669.73,0.31893,0.28015,0.84978,0.91985,0.83673,0.92015,0.66914,0.98745,0.90326,0.99784,0.0005744,0.0005744,0.0005744
38,5818.25,0.33183,0.27776,0.8591,0.93784,0.92374,0.96095,0.78719,0.7898,0.61682,0.90021,0.0005348,0.0005348,0.0005348
39,5966.53,0.33922,0.28694,0.86473,0.84328,0.95918,0.9591,0.73838,0.9268,0.62606,0.969,0.0004952,0.0004952,0.0004952
40,6114.8,0.3329,0.27765,0.8501,0.89403,0.86097,0.95275,0.74344,0.89993,0.75257,0.93803,0.0004556,0.0004556,0.0004556
41,6264.09,0.31917,0.26482,0.85524,0.89005,0.83673,0.92481,0.75944,0.76766,0.76359,0.9118,0.000416,0.000416,0.000416
42,6413.91,0.31376,0.26439,0.85057,0.89483,0.86828,0.94301,0.73027,0.90548,0.73687,0.95237,0.0003764,0.0003764,0.0003764
43,6562.67,0.30643,0.26859,0.85954,0.87151,0.83065,0.93894,0.74642,0.81815,0.75529,0.95177,0.0003368,0.0003368,0.0003368
44,6711.57,0.28625,0.25792,0.84316,0.88202,0.93878,0.95874,0.76817,0.79781,0.66589,0.92429,0.0002972,0.0002972,0.0002972
45,6860.45,0.27598,0.24355,0.83981,0.91898,0.92602,0.95809,0.75293,0.85605,0.69882,0.92855,0.0002576,0.0002576,0.0002576
46,7008.63,0.27353,0.24346,0.84597,0.9063,0.78964,0.93893,0.74259,0.85331,0.81907,0.94052,0.000218,0.000218,0.000218
47,7156.7,0.26365,0.23515,0.83617,0.90532,0.78065,0.95027,0.74682,0.89964,0.83689,0.96036,0.0001784,0.0001784,0.0001784
48,7305.41,0.262,0.23295,0.83382,0.91091,0.83469,0.96202,0.78335,0.77258,0.70226,0.91821,0.0001388,0.0001388,0.0001388
49,7454.32,0.26447,0.23858,0.84153,0.91387,0.86624,0.96501,0.76983,0.82539,0.69022,0.93687,9.92e-05,9.92e-05,9.92e-05
50,7602.5,0.2494,0.22677,0.83331,0.91591,0.88931,0.96809,0.77262,0.83166,0.67919,0.93818,5.96e-05,5.96e-05,5.96e-05
