epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.927,1.08878,2.55189,1.24752,0.85255,0.25143,0.84419,0.58758,0.86684,2.73613,0.93007,0.0005,0.0005,0.0005
2,225.615,0.97964,1.94932,1.09063,0.59945,0.78261,0.69776,0.48368,1.08606,2.59156,1.38116,0.000999804,0.000999804,0.000999804
3,346.075,0.98849,1.80005,1.13476,0.89665,0.75445,0.90206,0.61254,1.17741,1.91489,1.1352,0.00147902,0.00147902,0.00147902
4,440.267,1.03268,1.55416,1.11588,0.53187,0.55435,0.51618,0.30106,1.35383,2.57171,1.39686,0.0018812,0.0018812,0.0018812
5,533.673,0.95323,1.45068,1.1087,0.79213,0.82843,0.86792,0.63896,0.86106,2.18121,1.01752,0.0018416,0.0018416,0.0018416
6,627.207,0.78473,1.1986,1.00392,0.94612,0.95444,0.9834,0.71658,0.85108,2.36626,0.94267,0.001802,0.001802,0.001802
7,719.786,0.70521,0.97499,0.95585,0.86486,0.88043,0.95956,0.70891,0.8166,2.23031,0.98708,0.0017624,0.0017624,0.0017624
8,812.755,0.75144,0.8804,0.95179,0.9962,0.98913,0.99439,0.81977,0.70452,1.07837,0.87643,0.0017228,0.0017228,0.0017228
9,905.664,0.68158,0.76302,0.93798,0.99962,0.97826,0.99437,0.86061,0.63349,0.68949,0.86609,0.0016832,0.0016832,0.0016832
10,998.384,0.68424,0.71364,0.936,0.9173,0.96448,0.9813,0.76567,0.79071,0.72037,0.93649,0.0016436,0.0016436,0.0016436
11,1091.18,0.69587,0.67866,0.93486,0.9445,1,0.99014,0.80917,0.70006,0.65371,0.93569,0.001604,0.001604,0.001604
12,1183.94,0.64519,0.63639,0.93713,0.97423,1,0.99372,0.88287,0.49306,0.53162,0.7941,0.0015644,0.0015644,0.0015644
13,1276.89,0.59987,0.59376,0.8926,0.99853,1,0.995,0.88704,0.51527,0.48852,0.78989,0.0015248,0.0015248,0.0015248
14,1370.07,0.55133,0.54889,0.88448,0.9968,1,0.995,0.88849,0.51041,0.48356,0.79673,0.0014852,0.0014852,0.0014852
15,1463.01,0.54614,0.50201,0.89979,0.97788,1,0.99478,0.86431,0.60582,0.51942,0.8066,0.0014456,0.0014456,0.0014456
16,1555.63,0.50631,0.49039,0.89428,0.99704,1,0.995,0.90245,0.47527,0.40345,0.79158,0.001406,0.001406,0.001406
17,1648.56,0.49996,0.45716,0.89408,0.98687,1,0.99478,0.89401,0.46557,0.40601,0.79206,0.0013664,0.0013664,0.0013664
18,1741.28,0.5654,0.46495,0.8951,0.99901,1,0.995,0.8602,0.55835,0.41744,0.81369,0.0013268,0.0013268,0.0013268
19,1833.78,0.56995,0.45794,0.89701,0.99827,1,0.995,0.88754,0.48844,0.3824,0.79104,0.0012872,0.0012872,0.0012872
20,1926.62,0.54655,0.44973,0.90619,0.99909,1,0.995,0.88296,0.51962,0.40089,0.83422,0.0012476,0.0012476,0.0012476
21,2019.53,0.49644,0.43755,0.87706,0.98818,1,0.99478,0.86682,0.53932,0.40336,0.78893,0.001208,0.001208,0.001208
22,2112.21,0.51527,0.466,0.89493,0.99838,1,0.995,0.89665,0.47893,0.38168,0.77902,0.0011684,0.0011684,0.0011684
23,2204.53,0.49028,0.43078,0.89481,0.99891,1,0.995,0.89009,0.4663,0.37771,0.76451,0.0011288,0.0011288,0.0011288
24,2297.39,0.45824,0.39325,0.86574,0.999,1,0.995,0.88176,0.43938,0.35031,0.75997,0.0010892,0.0010892,0.0010892
25,2390.13,0.42183,0.3597,0.87292,0.999,1,0.995,0.89396,0.40894,0.31395,0.76605,0.0010496,0.0010496,0.0010496
26,2482.88,0.4036,0.35671,0.87452,0.99926,1,0.995,0.90153,0.40607,0.33652,0.75963,0.00101,0.00101,0.00101
27,2575.19,0.41137,0.35699,0.84682,0.99924,1,0.995,0.91797,0.37704,0.30723,0.74623,0.0009704,0.0009704,0.0009704
28,2668.09,0.37592,0.33543,0.85743,0.99824,1,0.995,0.91798,0.37631,0.29257,0.74807,0.0009308,0.0009308,0.0009308
29,2761.34,0.40359,0.34359,0.86037,0.99856,1,0.995,0.89488,0.46508,0.30602,0.78744,0.0008912,0.0008912,0.0008912
30,2854.28,0.40004,0.35335,0.86075,0.99924,1,0.995,0.90304,0.43503,0.30786,0.75931,0.0008516,0.0008516,0.0008516
31,2946.94,0.3791,0.32114,0.85671,0.99936,1,0.995,0.92636,0.37442,0.30051,0.74823,0.000812,0.000812,0.000812
32,3039.63,0.36926,0.30118,0.86992,0.99947,1,0.995,0.93378,0.37311,0.2817,0.75203,0.0007724,0.0007724,0.0007724
33,3133.08,0.37039,0.30938,0.87664,0.99912,1,0.995,0.9368,0.35966,0.27743,0.7441,0.0007328,0.0007328,0.0007328
34,3226.13,0.35805,0.29835,0.86723,0.99888,1,0.995,0.92426,0.35548,0.27807,0.73972,0.0006932,0.0006932,0.0006932
35,3318.91,0.31766,0.28717,0.85277,0.9993,1,0.995,0.9386,0.32861,0.26224,0.73347,0.0006536,0.0006536,0.0006536
