epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.605,0.99618,2.59581,1.19589,0.77157,0.5,0.8075,0.59325,0.92209,3.03819,0.91933,0.00062,0.00062,0.00062
2,216.443,1.03506,1.93424,1.16639,0.53872,0.6,0.4781,0.27875,1.2666,3.02388,1.18562,0.00123505,0.00123505,0.00123505
3,325.761,0.87236,1.50305,1.0424,0.42037,0.8,0.64151,0.35387,1.16757,3.7103,1.26542,0.00182476,0.00182476,0.00182476
4,432.589,0.99904,1.44456,1.11203,0.3784,0.6,0.46146,0.30699,0.99367,5.03659,1.11459,0.0018812,0.0018812,0.0018812
5,540.532,0.88828,1.27977,1.0767,0.58094,0.3,0.37879,0.26514,1.08973,6.26578,1.02108,0.0018416,0.0018416,0.0018416
6,644.579,0.8286,1.08748,1.06624,0.46864,0.5,0.47169,0.28319,1.2796,2.00347,1.12754,0.001802,0.001802,0.001802
7,755.005,0.74806,0.94986,1.01632,0.97969,0.9,0.97833,0.70468,1.00318,1.14875,1.18593,0.0017624,0.0017624,0.0017624
8,858.131,0.77553,0.84148,0.99194,0.59693,0.8,0.72677,0.5695,1.00309,1.52756,1.03555,0.0017228,0.0017228,0.0017228
9,960.267,0.71044,0.74161,0.96997,0.95461,0.7,0.83779,0.6624,0.96606,1.24971,1.06141,0.0016832,0.0016832,0.0016832
10,1064.81,0.71291,0.70324,0.97859,0.73997,0.85589,0.9,0.70696,0.78492,2.01861,0.96263,0.0016436,0.0016436,0.0016436
11,1166.54,0.71642,0.66977,0.98342,0.96143,0.7,0.87147,0.68695,0.80462,1.04688,0.93257,0.001604,0.001604,0.001604
12,1271.28,0.68429,0.61311,0.98244,0.88044,0.8,0.90373,0.76672,0.69765,1.15822,0.91016,0.0015644,0.0015644,0.0015644
13,1377.75,0.64741,0.58326,0.94755,0.87884,0.8,0.90763,0.72938,0.79788,0.90838,0.91136,0.0015248,0.0015248,0.0015248
14,1481.78,0.59321,0.55104,0.93227,0.9954,0.9,0.945,0.74444,0.90904,0.82769,1.01104,0.0014852,0.0014852,0.0014852
15,1594.92,0.63338,0.54494,0.92493,0.83216,0.99228,0.96833,0.74644,0.97702,0.76944,1.00479,0.0014456,0.0014456,0.0014456
16,1695.96,0.53687,0.51222,0.91569,0.89749,0.87744,0.95192,0.72885,1.04314,0.85055,1.00558,0.001406,0.001406,0.001406
17,1802.03,0.48814,0.46992,0.8955,1,0.89682,0.9575,0.77377,0.88129,0.77424,0.98211,0.0013664,0.0013664,0.0013664
18,1904.9,0.4933,0.44166,0.88909,0.76884,1,0.89456,0.71511,0.81317,0.68355,1.00238,0.0013268,0.0013268,0.0013268
19,2012.39,0.47089,0.41127,0.89333,0.88863,0.79811,0.94643,0.79327,0.7595,0.79043,0.98077,0.0012872,0.0012872,0.0012872
20,2122.1,0.42726,0.39415,0.8893,0.98843,0.8,0.90095,0.76092,0.68622,0.75795,0.93647,0.0012476,0.0012476,0.0012476
21,2225.85,0.42049,0.39246,0.87464,1,0.86798,0.96167,0.77374,0.78653,0.63504,0.95924,0.001208,0.001208,0.001208
22,2333.24,0.42822,0.37827,0.88024,1,0.88902,0.98591,0.84975,0.69377,0.67421,0.92636,0.0011684,0.0011684,0.0011684
23,2438.28,0.45568,0.38085,0.87982,1,0.9969,0.995,0.73261,0.89504,0.65004,1.01725,0.0011288,0.0011288,0.0011288
24,2543.85,0.46368,0.3895,0.8902,0.96804,0.9,0.97833,0.71133,0.87886,0.65275,0.96694,0.0010892,0.0010892,0.0010892
25,2648.24,0.42431,0.36193,0.87554,0.87926,0.8,0.9171,0.71832,0.94283,0.83645,1.06906,0.0010496,0.0010496,0.0010496
26,2751.44,0.40948,0.34853,0.86638,0.83168,0.98911,0.95056,0.74858,0.8943,0.72013,0.95733,0.00101,0.00101,0.00101
27,2860.54,0.41674,0.34817,0.87599,0.8901,0.9,0.94167,0.78427,0.78732,0.67183,0.94237,0.0009704,0.0009704,0.0009704
28,2963.84,0.42886,0.34218,0.86899,0.98044,0.8,0.93237,0.77155,0.79604,0.75828,0.9537,0.0009308,0.0009308,0.0009308
29,3067.11,0.36977,0.31659,0.86347,0.98183,0.9,0.96167,0.80669,0.69595,0.64594,0.94092,0.0008912,0.0008912,0.0008912
30,3177.63,0.37997,0.31832,0.87091,0.98396,0.9,0.97833,0.82835,0.67462,0.56259,0.92569,0.0008516,0.0008516,0.0008516
31,3281.89,0.38537,0.33103,0.8721,0.987,0.9,0.97192,0.79151,0.79884,0.55918,0.96474,0.000812,0.000812,0.000812
32,3389.22,0.37774,0.31243,0.86258,0.98934,0.9,0.96167,0.79161,0.7184,0.63196,0.98093,0.0007724,0.0007724,0.0007724
33,3499.81,0.38321,0.31489,0.87482,1,0.88749,0.9575,0.83333,0.62739,0.62381,0.91665,0.0007328,0.0007328,0.0007328
34,3603.18,0.36503,0.30026,0.86882,0.89376,0.9,0.935,0.74375,0.85896,0.67877,0.94406,0.0006932,0.0006932,0.0006932
35,3710.49,0.35977,0.29452,0.86498,0.87208,0.9,0.95167,0.77287,0.86056,0.61485,1.00531,0.0006536,0.0006536,0.0006536
36,3823.16,0.33571,0.28758,0.85781,0.9083,0.99126,0.96773,0.7995,0.71904,0.53327,0.96604,0.000614,0.000614,0.000614
37,3934.9,0.31856,0.27739,0.86898,0.89951,0.9,0.97192,0.75147,0.86537,0.61371,0.98365,0.0005744,0.0005744,0.0005744
38,4036.42,0.33278,0.27981,0.86045,0.9881,0.9,0.945,0.74867,0.79417,0.63737,0.96738,0.0005348,0.0005348,0.0005348
39,4141.36,0.34488,0.29436,0.86272,0.87672,0.9,0.91848,0.73008,0.89109,0.71576,0.97931,0.0004952,0.0004952,0.0004952
40,4245.41,0.30688,0.27367,0.85041,0.88221,0.9,0.95167,0.75644,0.78802,0.65123,0.98189,0.0004556,0.0004556,0.0004556
41,4348.45,0.31225,0.26572,0.86414,0.97104,0.9,0.9575,0.81365,0.71055,0.62729,0.98188,0.000416,0.000416,0.000416
42,4450.28,0.29266,0.25163,0.83119,1,0.8923,0.9575,0.74231,0.89501,0.67434,1.003,0.0003764,0.0003764,0.0003764
43,4557.81,0.2917,0.24549,0.8364,0.98579,0.9,0.97833,0.82678,0.70428,0.59208,0.94908,0.0003368,0.0003368,0.0003368
44,4668.4,0.29113,0.25352,0.85165,0.9811,0.9,0.97192,0.80182,0.80499,0.61103,0.96453,0.0002972,0.0002972,0.0002972
45,4778.97,0.26998,0.23921,0.84574,0.99257,0.9,0.97833,0.82789,0.7694,0.62963,0.98249,0.0002576,0.0002576,0.0002576
46,4887.03,0.25852,0.23841,0.84584,0.99793,0.9,0.97833,0.81672,0.7739,0.60664,0.97576,0.000218,0.000218,0.000218
47,4996.5,0.26644,0.23936,0.84505,1,0.88596,0.97833,0.81689,0.76377,0.57199,0.97474,0.0001784,0.0001784,0.0001784
48,5110.15,0.25333,0.22824,0.83898,1,0.8864,0.97192,0.81182,0.83957,0.64392,1.00522,0.0001388,0.0001388,0.0001388
49,5215.47,0.27332,0.24101,0.84078,1,0.87063,0.97192,0.79855,0.79546,0.64554,0.97899,9.92e-05,9.92e-05,9.92e-05
50,5321.29,0.25014,0.22841,0.84976,1,0.88443,0.97192,0.81071,0.80865,0.6386,0.98356,5.96e-05,5.96e-05,5.96e-05
